"mukey","wthirdbar_r","wsatiated_r","wfifteenbar_r","ksat_r"
542055,26.3706666666667,34.8066666666667,16.6306666666667,2.3141999952
542056,27.2924138137931,35.2620689655172,17.371724137931,4.82848275034483
542057,26.5048274758621,39.0642857142857,13.9662068965517,13.9057930082759
542058,16.7901097362637,29.4285714285714,6.62857127252747,24.1562639340659
542059,13.4758240274725,23.8241758241758,5.27142859120879,24.5714285714286
542060,11.2659342230769,19.6813186813187,4.28791212747253,25.0791204725275
542061,18.2187993823229,29.5386813635436,7.9628222741648,24.233834256651
542062,15.2384543455973,24.9977443609023,6.64718465827903,24.2498941798942
542063,14.6854426431014,23.9505317000942,6.2388612827433,25.0258653026428
542064,16.7798882339101,29.0113843351548,6.97647236050395,24.9366673333333
542065,21.8350515463918,22.1546391752577,11.6742268268041,4.88587627010309
542066,21.5481481481481,27.2716049382716,11.4024691679012,5.57271605925926
542067,32.9816614405998,43.7867647058824,18.2543713287197,8.63486041271049
542068,33.1422150645905,43.7573529411765,18.2707957716263,9.09343480662053
542069,33.5600005,45.14,18.3179999,10.329799974
542070,28.8462072482759,41.3862068965517,16.9020689655172,2.34241382689655
542071,29.2420683172414,42.2206896551724,17.188275862069,2.34241382689655
542072,29.2420683172414,42.2206896551724,17.188275862069,2.34241382689655
542073,29.9702129219858,41.705035971223,17.2560283687943,4.61553194510638
542074,17.01533388,42.8266666666667,7.19466657866667,28.23
542075,17.01533388,42.8266666666667,7.19466657866667,28.23
542076,27.0689645689655,39.3818181818182,12.3051724137931,12.5305174017241
542077,27.0689645689655,39.3818181818182,12.3051724137931,12.5305174017241
542078,27.0689645689655,39.3818181818182,12.3051724137931,12.5305174017241
542079,27.0689645689655,39.3818181818182,12.3051724137931,12.5305174017241
542082,29.3890914,41.7884615384615,14.7363636363636,12.9958183254545
542083,29.3890914,41.7884615384615,14.7363636363636,12.9958183254545
542084,27.0088231911765,39.2794117647059,12.8323529411765,12.8242648014706
542085,27.0088231911765,39.2794117647059,12.8323529411765,12.8242648014706
542087,9.22244897959184,25.3809523809524,3.82925175918367,69.2286369659864
542088,9.22244897959184,25.3809523809524,3.82925175918367,69.2286369659864
542089,9.22244897959184,25.3809523809524,3.82925175918367,69.2286369659864
542090,10.7267605633803,24.970802919708,4.2387324443662,72.9176734788732
542091,10.7267605633803,24.970802919708,4.2387324443662,72.9176734788732
542092,10.7267605633803,24.970802919708,4.2387324443662,72.9176734788732
542093,13.7260563380282,28.2116788321168,5.2802817056338,73.613448084507
542094,13.6758620689655,28.1,5.23517242689655,73.6965490965517
542095,12.1006666666667,31.34,4.56199995133333,71.70199736
542102,21.0699996,42.8,10.35999994,9
542103,21.0699996,42.8,10.35999994,9
542104,26.6162162162162,43.5135135135135,12.7837838594595,9.1700001
542105,26.6162162162162,43.5135135135135,12.7837838594595,9.1700001
542106,28.8307692307692,40.3733333333333,13.9384615384615,14.8184616820513
542107,18.0406671066667,39.4,7.75733321733333,14.3333333133333
542108,17.4126761267606,36.1567164179104,7.20633800140845,27.1562676056338
542109,31.1213334866667,41.3066666666667,21.9719991533333,1.03353330106667
542111,22.1437039957747,31.9553438276719,11.5385417827506,9.09766768378933
542112,21.7494205561013,32.0536158125222,11.2247484373299,9.06873471730506
542113,21.5169847163767,32.0720795360398,11.0503727727147,9.05426823406293
542114,22.1786525420328,32.073432045263,11.4045543275149,9.08802336162791
542115,22.1856127329016,31.5673340892815,11.7334686205613,9.09314690777616
542116,21.7450705275772,31.5535566339212,11.3517753645402,9.06873471730506
542117,29.9176477058824,40.7058823529412,15.6117647058824,5.06117644117647
542118,17.5,26,7.9000001,9.1700001
542119,19,28,8.6000004,9.1700001
542120,17.5,26,7.9000001,9.1700001
542121,7.5999999,11,3.9000001,77.629997
542122,NA,NA,NA,NA
542123,28.0862066689655,38.7857142857143,15.1455176137931,7.8648275862069
542124,28.0862066689655,38.7857142857143,15.1455176137931,7.8648275862069
542125,28.0862066689655,38.7857142857143,15.1455176137931,7.8648275862069
542126,24.7826660533333,39.1333333333333,12.4186666666667,3.46999993333333
542127,24.7826660533333,39.1333333333333,12.4186666666667,3.46999993333333
991685,NA,NA,NA,NA
